Version,Release date,API level,Kernel,Launched with
16,"June 10, 2025",36,6.12,?
15,"August 13, 2024",35,6.6,?
14,"October 4, 2023",34,6.1,"Pixel 4a (5G), Pixel 5, Pixel 5a, Pixel 6, Pixel 6 Pro, Pixel 7, Pixel 7 Pro, Pixel 7a, Pixel 8, Pixel 8 Pro, iQOO 11 Pro, Lenovo Tab Extreme Wi-Fi, Nothing Phone 1, OnePlus 11, Oppo Find N2, Oppo Find N2 Flip, Realme GT 2 Pro, Tecno Camon 20 series, Vivo X90 Pro, Xiaomi 12T, Xiaomi 13, Xiaomi 13 Pro, Xiaomi Pad 6[464]"
13,"August 15, 2022",33,5.x,"Pixel 4, Pixel 4 XL, Pixel 4a, Pixel 4a (5G), Pixel 5, Pixel 5a, Pixel 6, Pixel 6 Pro, Pixel 7, Pixel 7 Pro, Pixel 7a, Asus ZenFone 8, Lenovo P12 Pro, OnePlus 10 Pro, Oppo Find X5 Pro, Vivo X80 Pro, Realme GT2 Pro, Xiaomi 12, Xiaomi 12 Pro, Xiaomi Pad 5, Redmi K50 Pro, Sharp AQUOS sense6, Tecno Camon 19 Pro, ZTE Axon 40 Ultra[465]"
12L,"March 7, 2022",32,5.x,"Pixel 3, Pixel 3 XL, Pixel 3a, Pixel 3a XL, Pixel 4, Pixel 4 XL, Pixel 4a, Pixel 5, Pixel 5a"
