Current configuration,Figure,Magnetic field,Magnetic field.1
Finite beam of current,,"where is the uniform current throughout the beam, with the direction of magnetic field as shown.","where is the uniform current throughout the beam, with the direction of magnetic field as shown."
Infinite wire,,where is the uniform current flowing through the wire with the direction of magnetic field as shown.,where is the uniform current flowing through the wire with the direction of magnetic field as shown.
Infinite cylindrical wire,,"outside the wire carrying a current uniformly, with the direction of magnetic field as shown.","inside the wire carrying a current uniformly, with the direction of magnetic field as shown."
Circular loop,,"along the axis of the loop, where is the uniform current flowing through the loop.","along the axis of the loop, where is the uniform current flowing through the loop."
Solenoid,,"along the axis of the solenoid carrying current with , uniform number of loops of currents per length of solenoid; and the direction of magnetic field as shown.","along the axis of the solenoid carrying current with , uniform number of loops of currents per length of solenoid; and the direction of magnetic field as shown."
Infinite solenoid,,"outside the solenoid carrying current with , uniform number of loops of currents per length of solenoid.","inside the solenoid carrying current with , uniform number of loops of currents per length of solenoid, with the direction of magnetic field as shown."
Circular Toroid,,"along the bulk of the circular toroid carrying uniform current through number of uniformly distributed poloidal loops, with the direction of magnetic field as indicated.","along the bulk of the circular toroid carrying uniform current through number of uniformly distributed poloidal loops, with the direction of magnetic field as indicated."
Magnetic Dipole,,"on the equatorial plane, where is the magnetic dipole moment.","on the axial plane (given that ), where can also be negative to indicate position at the opposite direction on the axis, and is the magnetic dipole moment."
