0,1,2,3,4,5,6,7
Selected space telescopes and instruments[286],Selected space telescopes and instruments[286],Selected space telescopes and instruments[286],Selected space telescopes and instruments[286],Selected space telescopes and instruments[286],Selected space telescopes and instruments[286],Selected space telescopes and instruments[286],Selected space telescopes and instruments[286]
Name,Year,Wavelength,Aperture,,,,
Human eye,—,0.39–0.75 μm,0.005 m,,,,
Spitzer,2003,3–180 μm,0.85 m,,,,
Hubble STIS,1997,0.115–1.03 μm,2.4 m,,,,
Hubble WFC3,2009,0.2–1.7 μm,2.4 m,,,,
Herschel,2009,55–672 μm,3.5 m,,,,
JWST,2021,0.6–28.5 μm,6.5 m,,,,
